id,BUNDESLAND_NAME,BUNDESLAND_NUTSCODE,REGIERUNGSBEZIRK_NAME,REGIERUNGSBEZIRK_NUTSCODE,KREIS_NAME,KREIS_TYP,KREIS_NUTSCODE,GEMEINDE_NAME,GEMEINDE_TYP,GEMEINDE_AGS,GEMEINDE_RS,GEMEINDE_LAT,GEMEINDE_LON,ORT_ID,ORT_NAME,ORT_LAT,ORT_LON,POSTLEITZAHL,STRASSE_NAME,STRASSE_ID
218681,Schleswig-Holstein,DEF,,,Flensburg,"Kreisfreie Stadt",DEF01,Flensburg,Stadt,01001000,010010000000,54.79776,9.44732,20508,Altstadt,54.78643,9.43339,24937,"Am Pferdewasser",222747
218682,Schleswig-Holstein,DEF,,,Flensburg,"Kreisfreie Stadt",DEF01,Flensburg,Stadt,01001000,010010000000,54.79776,9.44732,20508,Altstadt,54.78643,9.43339,24937,"Angelburger Straße",222748
218683,Schleswig-Holstein,DEF,,,Flensburg,"Kreisfreie Stadt",DEF01,Flensburg,Stadt,01001000,010010000000,54.79776,9.44732,20508,Altstadt,54.78643,9.43339,24937,"Berliner Platz",222749
218684,Schleswig-Holstein,DEF,,,Flensburg,"Kreisfreie Stadt",DEF01,Flensburg,Stadt,01001000,010010000000,54.79776,9.44732,20508,Altstadt,54.78643,9.43339,24937,Dr.-Todsen-Straße,222750
218685,Schleswig-Holstein,DEF,,,Flensburg,"Kreisfreie Stadt",DEF01,Flensburg,Stadt,01001000,010010000000,54.79776,9.44732,20508,Altstadt,54.78643,9.43339,24937,Friedrich-Ebert-Straße,222751
218686,Schleswig-Holstein,DEF,,,Flensburg,"Kreisfreie Stadt",DEF01,Flensburg,Stadt,01001000,010010000000,54.79776,9.44732,20508,Altstadt,54.78643,9.43339,24937,"Große Straße",222752
218687,Schleswig-Holstein,DEF,,,Flensburg,"Kreisfreie Stadt",DEF01,Flensburg,Stadt,01001000,010010000000,54.79776,9.44732,20508,Altstadt,54.78643,9.43339,24937,Heiligengeistgang,222753
218688,Schleswig-Holstein,DEF,,,Flensburg,"Kreisfreie Stadt",DEF01,Flensburg,Stadt,01001000,010010000000,54.79776,9.44732,20508,Altstadt,54.78643,9.43339,24937,Holm,222754
218689,Schleswig-Holstein,DEF,,,Flensburg,"Kreisfreie Stadt",DEF01,Flensburg,Stadt,01001000,010010000000,54.79776,9.44732,20508,Altstadt,54.78643,9.43339,24937,Klostergang,222755

